Thakhiginn Browndelver
Groowada Ingotheart
Hodmulsia Beastbrand
Snandrobena Deepminer
Eringrabyrn Frostback
Skasgrebo Merryhood
Kummeagit Forgetank
Grodweaginn Copperflayer
Mangraegret Undermail
Dalolgraetalin Onyxbelt
Throbuna Blazinghide
Skokdrithra Ingotmane
Koggaebelynn Largechest
Foddoubera Honorfury
Sibrigar Heavygrip
Alfoznaetain Beastfinger
Harnorra Hardhide
Jandrearra Brickhead
Sistaela Brickblade
Groosgrouni Thundershoulder
Gloriddedeth Caveback
Skomwaeginn Shadowjaw
Loveamora Ironbrow
Groussuthra Whitbuster
Thassaela Axemaster
Groutrekara Redbane
Nongraserd Ironbasher
Muweni Bottlechin
Nastabelyn Bluntfall
Nudretelyn Hillbane
Durivromora Silverbrand
Vakkarra Copperhead
Aragrala Goldenbuster
Dhukrulda Deeparmour
Korgroubo Oakbringer
Asouhilda Oakenbelly
Dareruigith Underhelm
Grundroure Nighthide
Urgeahulda Wyvernback
Grarrugit Orchorn
