Gorfed Lightjaw
Ruznarlum Fieryborn
Borhaer Magmaguard
Eridmeal Hornmace
Nursomri Bottlebasher
Dwostarlig Ironbelt
Reilal Browntoe
Fossath Opalhood
Noratdrulim Iceblade
Thorgrumir Rubyback
Asgrak Bittercloak
Kraldrick Wyvernbasher
Athaen Cragview
Gloriznoth Flintforge
Jothod Strongbrow
Jazear Magmaminer
Thesgrunli Magmamantle
Thranoth Shatterbreaker
Savruid Pebblehand
Hulmaem Bristleminer
Bhasag Duskhorn
Dummaet Emberpike
Mutraeg Merrybelly
Thraverlun Honordelver
Dudmith Longsword
Durilaed Blessedmail
Lusdrout Oreforge
Kosgrolim Wyvernbuster
Yulgrumir Alebrand
Hetraer Hammermaker
